unitid,year,f1b01,f1b02,f1b03,f1c011,f1d01,f2e011,f2b01,f2b04
136400,2017,12289635,676919,70861,26716971,75790427,,,
136473,2017,13762514,882066,0,28962881,86671160,,,
136491,2017,1496944,0,67853,4616297,,,,
136516,2017,12916978,1263535,5731912,35026575,81276224,,,
136659,2017,366911,357226,1749112,1271779,,,,
136765,2017,761084,0,0,2901927,,,,
136826,2017,1143776,0,0,9428913,,,,
137023,2017,1276123,876460,49013,2801505,,,,
137078,2017,41522795,286188,0,90712697,216219257,,,
137087,2017,1768829,0,0,6460466,,,,
137096,2017,28507450,3532928,747856,46476139,111385708,,,
137120,2017,3550929,6839,462992,6884547,,,,
137209,2017,24274484,2477066,569398,49299408,128198981,,,
137245,2017,3766959,0,3030051,10770995,,,,
137281,2017,8940485,1211777,192012,18155439,52580419,,,
137315,2017,2468835,331582,0,12229287,31170281,,,
137351,2017,260294183,198233731,26307405,356587234,1303116524,,,
137713,2017,240528,0,924613,1616959,,,,
137759,2017,16161021,8934894,6225061,36714144,101618436,,,
137856,2017,344562,0,1003402,991926,,,,
137865,2017,988410,373092,46942,1517224,,,,
138187,2017,69701813,497858,0,106941634,275898039,,,
138284,2017,901487,365561,142054,2730550,,,,
138354,2017,61418973,10981192,3021234,65456485,237986583,,,
138372,2017,946410,709670,8988590,3212381,,,,
138479,2017,2647410,0,5451286,4839039,,,,
138488,2017,588964,293194,9125240,3213906,,,,
138497,2017,1081178,311667,0,2585902,,,,
138558,2017,10571770,124861,0,14292476,49836174,,,
138682,2017,5387719,83806,0,11714766,31785904,,,
138716,2017,21081397,7944017,2108052,38154110,106140034,,,
138789,2017,36069921,2304990,157326,43085353,101396059,,,
138840,2017,5561232,74321,0,15671619,34246394,,,
138901,2017,4673303,2546240,5823,7983695,28600728,,,
138956,2017,5635593,138141,0,21386773,31766537,,,
139010,2017,4505687,565066,1552109,6946819,19758943,,,
139250,2017,7149233,19570,0,17342888,37198815,,,
139278,2017,11223122,130486,0,21205444,46348845,,,
139311,2017,28169076,1231749,94429,31373783,88628962,,,
139357,2017,4561427,170656,0,10787377,23937191,,,
139366,2017,46233797,1001227,105526,58412540,121092145,,,
139384,2017,7729533,65306,0,18554653,43302407,,,
139463,2017,9925528,5526,52266,17176739,45137286,,,
139621,2017,4364180,89177,138270,9602982,28045709,,,
139700,2017,12111692,214100,111557,13861214,42612663,,,
139719,2017,8735336,1633064,53156,11932422,80087860,,,
139746,2017,344589,0,0,467619,,,,
139755,2017,361845835,545314270,8125597,334572574,1620668435,,,
139764,2017,12950184,312955,173187,16453421,42343876,,,
139861,2017,57447517,509366,96846,43548757,160038247,,,
139931,2017,117350971,5113356,583536,123532205,371135666,,,
139940,2017,247378121,80724333,9642806,228402723,921858688,,,
139959,2017,453158505,150018155,27201677,366610999,1653226934,,,
139968,2017,6328647,162300,157786,16702532,39229400,,,
139986,2017,6904256,208038,0,18620373,37456159,,,
140012,2017,14823520,161523,0,28246176,56798683,,,
140243,2017,7654644,51571,0,10752508,27581431,,,
140331,2017,20003031,127484,0,25187482,57239704,,,
140678,2017,4787429,85246,0,10247195,25385311,,,
140942,2017,7521757,141412,0,14184982,36918589,,,
140960,2017,13851127,9310329,62967,27176082,100207270,,,
141006,2017,4095288,47534,0,11019198,25602584,,,
141255,2017,6390296,69402,0,16385871,34381182,,,
141264,2017,61457736,1338949,629561,66416916,177590553,,,
141334,2017,67102516,1933328,510202,82586708,209739673,,,
141565,2017,25966661,13601000,428274,47908417,109316515,,,
141574,2017,178230346,209944040,31988078,351195455,1019508630,,,
141680,2017,7073609,3007676,93834,24734044,48906886,,,
141796,2017,19087603,4736638,486454,43234523,77257381,,,
141802,2017,1689059,1644584,78039,11254161,21805725,,,
141811,2017,13719777,2589451,174909,31150172,61584609,,,
141839,2017,5311691,8479667,1557932,27806149,45483257,,,
141963,2017,516110,39829120,3344401,7685278,282638242,,,
141981,2017,11627305,3578777,144314,24023385,45493455,,,
141990,2017,3657225,4776147,108391,14229731,29725132,,,
142115,2017,135558227,31607275,4321790,130755839,399465577,,,
142179,2017,1526119,0,281161,6672660,13205750,,,
142276,2017,79831468,8890478,11643584,119826361,254613004,,,
142285,2017,86340857,67093338,10733003,112841481,410421334,,,
142328,2017,12800649,895530,2334713,22586395,53760576,,,
142443,2017,9454809,3797646,415050,26146364,67743847,,,
142559,2017,10489187,10368003,2968316,24244605,76447559,,,
143215,2017,25305995,0,0,36486263,116785843,,,
143279,2017,8847663,0,0,21704794,65589187,,,
143613,2017,4524438,0,0,5823172,30157194,,,
144005,2017,22265078,6448567,4451978,64497943,112596569,,,
144157,2017,2028529,0,0,19040995,,,,
144166,2017,4252892,0,0,27557235,,,,
144175,2017,1935334,0,0,13677642,,,,
144184,2017,11805258,0,0,24593778,,,,
144193,2017,11282500,0,0,16165444,,,,
144209,2017,9803881,0,0,27505083,,,,
144218,2017,11398883,0,0,27508153,,,,
144500,2017,0,0,0,0,453895613,,,
144564,2017,4123692,0,0,10004205,27329580,,,
144865,2017,62637842,0,0,147130015,276408452,,,
144892,2017,45641268,539135,1317842,114063866,209712070,,,
144944,2017,19698407,2694115,31950055,53429090,143299480,,,
145336,2017,39823090,3235089,7318716,56350696,120818611,,,
145521,2017,3930915,0,0,11894439,29392470,,,
145600,2017,378767545,252504283,14725530,884436414,3066242696,,,
145637,2017,773706054,432554942,51307411,769556147,2860439988,,,
145682,2017,23973374,3449148,4215625,31736847,118130380,,,
145707,2017,1271990,0,0,5570083,,,,
145813,2017,222197297,10823028,2257403,303169210,599143001,,,
145831,2017,5800155,0,0,13362985,37295470,,,
146205,2017,5715225,0,0,13209942,51178829,,,
146278,2017,5853487,0,0,10473681,28094472,,,
146296,2017,28873975,0,0,64688322,162019533,,,
146348,2017,6285298,4753431,11163393,16332985,46898324,,,
146366,2017,5945047,0,0,17925236,38430418,,,
146418,2017,7861864,1469744,958989,17746820,47519556,,,
146472,2017,27013124,0,0,68660469,163197922,,,
146506,2017,15513380,0,6854936,29619442,83087594,,,
146603,2017,12188645,0,0,35069538,76066550,,,
146685,2017,18234310,0,0,33032737,85113724,,,
147004,2017,11377780,0,0,29712637,70066456,,,
147378,2017,31684193,0,0,50618494,138916177,,,
147411,2017,4684983,0,0,15728370,48535151,,,
147703,2017,127256306,16127762,8641859,229631671,552151098,,,
147776,2017,50156777,18812248,1578960,106691118,189732731,,,
147800,2017,18247618,0,0,66428904,124777024,,,
147916,2017,19801240,0,0,36301128,107636785,,,
148007,2017,6793442,0,0,12868272,47397451,,,
148256,2017,3320339,0,0,7749271,36214988,,,
148292,2017,2398415,0,0,14768016,34660095,,,
148380,2017,11567622,0,0,37846599,86853906,,,
148654,2017,39024340,1862062,4459527,47907682,125878372,,,
148672,2017,2596297,0,0,5639908,21577547,,,
148821,2017,1588256,973515,0,10701418,20897852,,,
148937,2017,1053542,0,4331635,4527212,19594633,,,
148991,2017,3293098,0,0,4584623,21364410,,,
