unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
123280,2017,6,14753,5978,11380,100
123299,2017,555,,5124,5750,75
123341,2017,1739,,4709,5097,54
123350,2017,73,11242,4110,,100
123457,2017,117,27613,10791,7075,98
123484,2017,213,,4905,5344,64
123493,2017,305,,3523,5475,76
123509,2017,506,,4335,,46
123527,2017,949,,4899,5000,86
123554,2017,562,33414,29572,10728,96
123563,2017,699,,3846,6625,63
123572,2017,1774,,7277,5905,60
123633,2017,0,,,,
123642,2017,51,16397,3450,6565,45
123651,2017,408,21611,22396,7781,100
123679,2017,439,26385,3742,7949,60
123800,2017,1863,,5264,2843,80
123952,2017,21,50972,17677,14158,38
123961,2017,3066,32892,36686,7747,58
124113,2017,332,,4978,,86
124292,2017,89,21331,14383,4078,57
124487,2017,1,7601,5934,3166,100
124681,2017,562,24289,4217,7709,92
124706,2017,913,22585,3953,7260,70
124937,2017,498,25336,3955,6981,67
125028,2017,1302,,4763,4875,71
125091,2017,1114,,5412,,84
125170,2017,476,,4700,6440,45
125231,2017,0,,,,
125310,2017,14,10325,7067,,79
125462,2017,324,,5333,4823,85
125471,2017,504,,4388,2661,64
125499,2017,747,,3337,5443,55
125532,2017,153,21348,4236,7260,89
125727,2017,343,32699,26711,7786,97
125763,2017,424,26764,28841,9140,96
125897,2017,135,28871,21271,5312,82
126076,2017,50,10972,14828,,96
126119,2017,548,,5281,,85
126164,2017,35,9048,4270,4676,49
126182,2017,449,,8447,5972,89
126207,2017,363,,6322,3896,58
126289,2017,405,,5593,3985,44
126359,2017,49,21677,4479,8379,49
126401,2017,18,14113,9966,6598,100
126562,2017,1368,,6251,5481,60
126580,2017,1957,,5682,6505,64
126605,2017,93,23249,3365,8419,73
126614,2017,6378,,9787,8089,49
126669,2017,409,25198,17078,7579,99
126678,2017,533,29528,36872,6298,44
126687,2017,661,25315,3971,6701,62
126702,2017,60,24732,6274,6616,95
126711,2017,349,,4366,6282,41
126748,2017,149,,4771,7090,74
126775,2017,974,,10725,8485,82
126784,2017,127,17410,3225,8731,46
126818,2017,4851,,8221,6921,63
126827,2017,1084,15888,5399,6755,82
126863,2017,312,,7093,4994,51
126872,2017,11,25938,5568,9673,91
126915,2017,85,,4048,4389,53
126942,2017,430,,6235,3333,75
126951,2017,517,19674,3990,7306,66
127060,2017,1377,35163,26702,8414,86
127158,2017,787,,5664,,32
127185,2017,766,,10850,5644,89
127200,2017,1099,,6297,5195,48
127219,2017,11,11898,5469,7691,91
127316,2017,45,10666,4404,6293,71
127389,2017,192,,6390,4444,89
