Religious affiliation,Offers Master's degree,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,Sector of institution,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total enrollment,Undergraduate enrollment,Percent of total enrollment that are White,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are women,"Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,Percent of freshmen receiving student loan aid,Offers Non-Degree,Offers Doctor's degree,Bachelor's degrees awarded Ratio,Master's degrees awarded Ratio,Non-degree awarded Ratio,Doctor's degree awarded Ratio,Average Tuition and Fees,Full-time Enrollment Ratio,Percent of total enrollment that are Minor
Assemblies of God Church,FALSE,-0.8496551994695092,-1.4300961493218296,Arizona,"Private not-for-profit, 4-year or above",City: Large,Baccalaureate Colleges--Diverse Fields,-0.7425073557434115,-0.753137760033351,-2.3337565133162994,-0.7529504243905689,-0.07628910341870006,-0.14583167366205702,0.3601527693289022,0.3695574577858673,TRUE,FALSE,0.37291433775528854,-1.1206598855429244,0.89642371192844,-0.4566037509512404,-0.7355121933582709,0.49306187191576883,2.592667027953968
Not applicable,TRUE,-0.8116190767810243,-0.06589700822137147,Arizona,"Public, 4-year or above",City: Midsize,Research Universities (very high research activity),4.410877295105784,4.573612875918385,-0.17829835594468446,1.2535221735684912,-1.2649025574378634,0.32636497875558834,0.6149467422445095,-1.0603011272062783,TRUE,TRUE,-0.0599854167385318,0.041817577139172744,-0.12084946748429655,0.41335091474326935,-0.875145625324924,0.5606372542743283,-0.19693632585162257
Not applicable,TRUE,-0.7084989219366875,0.36767160178263053,Arizona,"Public, 4-year or above",City: Large,Research Universities (very high research activity),3.554399879818526,3.6006274553647315,-0.26810911250183506,0.5846979742488045,-0.500793908425544,0.43129756818173176,-0.37099515295066693,-1.454030302783826,TRUE,TRUE,0.07066911589695535,-0.08997057167799258,-0.4135815772899979,1.0746564310377726,-0.8481108091557317,0.5524392664878314,0.12318209179819929
Not applicable,TRUE,0.9155282558837733,0.7632397037968521,Arizona,"Private not-for-profit, 4-year or above",Rural: Fringe,Baccalaureate Colleges--Diverse Fields,-0.5472801067693824,-0.5050678227817114,-0.08848759938753382,0.5846979742488045,-3.132723699467977,0.32636497875558834,0.2789141112978383,-0.0863394823565561,FALSE,FALSE,1.1406778721272408,-0.8363997594631644,-0.506786263499543,-0.4566037509512404,0.9042426677713931,0.8862194858707759,-0.059742718287413205
Not applicable,TRUE,-0.8954522279994829,-0.30736254768407156,Arizona,"Public, 4-year or above",City: Small,Research Universities (high research activity),2.0677263611655907,2.2899912868852352,0.18094467028391803,-0.08412622507088223,0.09351281858403755,-0.19829796837512872,-0.6519455119747601,-0.3404070479567604,TRUE,TRUE,-0.08082191789397898,0.11120464462792293,0.06988417692145607,-0.20615801310913487,-0.9165018191317218,-0.012422283333441326,-0.19693632585162257
American Baptist,TRUE,-0.22374198538602952,-0.6523651496194297,Arizona,"Private not-for-profit, 4-year or above",City: Large,Master's Colleges and Universities (medium programs),-0.681671068603839,-0.716478535972831,-0.7620682735661635,-0.7529504243905689,1.2821262726032008,-0.4291496651126442,0.24056946470717755,0.09693108758069806,TRUE,FALSE,-1.0235811050460095,1.7401933717510987,-0.3140919358879538,-0.4566037509512404,-0.07304985735384936,-4.36162638686143,0.9920749397048586
Not applicable,TRUE,0.5330154907458384,0.2879469179347244,Arizona,"Private not-for-profit, 4-year or above",City: Small,Master's Colleges and Universities (smaller programs),-0.6509349653451698,-0.6889152096115376,0.764714587905397,-0.5857443745606473,0.6029185845922503,-0.7754272102189176,-0.01731978313866451,-0.014386051147208572,TRUE,TRUE,-0.04993626764586913,0.04638038986757863,0.02973519769350933,-0.027866838169513037,0.7366310953600167,-0.9560098363267595,-0.6085171485442507
Undenominational,FALSE,0.07550624935747674,-0.2805330432993271,Arizona,"Private not-for-profit, 4-year or above",City: Large,Baccalaureate Colleges--Diverse Fields,-0.6835788267371357,-0.6765117127489556,0.0462285354481921,-0.2513322749008039,-0.6705958304282816,-0.30323055780127217,0.5142549660063835,0.1128216809273123,TRUE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,-0.005207690592713718,-0.33811711616034995,0.07745088927679616
Not applicable,TRUE,-0.8612581379057945,-0.511018536483573,Arkansas,"Public, 4-year or above",City: Midsize,Doctoral/Research Universities,0.5609153955500794,0.6100065451644089,-0.08848759938753382,-0.08412622507088223,0.09351281858403755,-1.6673542203411367,0.20444534143603135,-1.0503715536993883,TRUE,TRUE,-0.6425419568530213,0.30300741388986796,0.2808618390453958,0.7555999016512748,-1.0875865400120983,-1.3593010738014157,0.16891329431960242
Baptist,FALSE,-1.0292318029502954,-1.6532297854326758,Arkansas,"Private not-for-profit, 4-year or above",City: Midsize,Baccalaureate/Associate's Colleges,-0.6420320940564519,-0.6224875930808208,-2.3786618915948745,-0.7529504243905689,-1.7743083234460761,-2.2969497568979973,-0.5367220153340361,0.26470116155310996,TRUE,FALSE,-0.7757883161099252,-1.1206598855429244,2.522093805412079,-0.4566037509512404,-1.0116060574557006,0.39869514449857407,2.592667027953968
